Promotion event summary,Promotion type,URL,country_code,search_type,Start date,End date,Mechanic,Offerings,Company name,Campaign name
"31 March-1 April 2025: Huge Discounts at Nike Factory Store
Up to 40% off when purchasing multiple items from 27 March to 1 April 2025.",Promotion,https://www.everydayonsales.com/834009/27-march-1-april-2025-nike-factory-store-massive-savings-event-special-sale/,Indonesia,web_search,27 March 2025,1 April 2025,,,,Nike,Factory Store Discounts
"Massive Discounts until 27 April 2025
Up to 50% off on many selected items through Nike's official website during the flash sale.",Promotion,https://singpromos.com/department-stores/nike-spore-flash-sale-has-up-to-50-off-over-1800-items-until-27-april-2025-289375/,Indonesia,web_search,,27 April 2025,,,,Nike,Flash Sale
"Liam and Noel Gallagher team up for Adidas promo ahead of reunion tour. April 25, 2025.",Product Launch,https://www.oasisfansclub.com/2025/04/25/liam-and-noel-gallagher-team-up-for-adidas-promo-ahead-of-reunion-tour/,Indonesia,web_search,25 April 2025,,,,Adidas,Liam and Noel Gallagher Promo
"adidasCareers | Move For The Planet 2025 has started, featuring over 100 trackable sports and activities.",Promotion,https://www.instagram.com/p/DIyI2a3iZ22/?locale=id&hl=en,Indonesia,web_search,,,,,,,
"Y-3 Unveils its Spring/Summer 2025 Campaign With Adidas, emphasizing a blend of iconic sportswear and new creative ideas.",Collections,https://pausemag.co.uk/2025/04/y-3-unveils-its-spring-summer-2025-campaign-with-adidas/,Indonesia,web_search,,,,Adidas,Y-3 Spring/Summer 2025
"Starting 23 April 2025, adidas is rolling out a limited-time promotion for loyal followers with exclusive perks.",Promotion,https://sg.everydayonsales.com/23-april-2025-onwards-adidas-singapore-member-exclusive-perks-giveaways-and-custom-shoe-experience-promotion/,Indonesia,web_search,23 April 2025,,,,Adidas,Limited-time Promotion
"Kith and adidas Team Up with Kaká for Their Latest Collection, dropping on April 18, 2025.",Collections,https://thedropdate.com/news/kith-and-adidas-team-up-with-kaka-for-their-latest-campaign,Indonesia,web_search,18 April 2025,,,,Adidas,Kith Collaboration
New adidas Originals SS25 featuring @rosevillain ...,Collections,https://www.instagram.com/c41magazine/p/DIBNSa-I_TU/,Indonesia,web_search,,,,Adidas,Originals SS25
Adizero: Road to Records,Product Launch,https://www.adidas.com.au/go/campaign/roadtorecords,Indonesia,web_search,,,,Adidas,Adizero: Road to Records
adidas Originals' SS25 campaign celebrates individuality,Promotion,https://www.afaqs.com/news/advertising/adidas-originals-ss25-campaign-celebrates-individuality-8920130,Indonesia,web_search,,,,,
adidas Originals presents “The Original” for Spring ...,Collections,https://hypemagazine.co.za/2025/04/07/adidas-originals-presents-the-original-for-spring-summer-2025/,Indonesia,web_search,,,,Adidas,The Original
"From 18 April 2025 to 5 May 2025 (both days inclusive), customers can enjoy 20% off upon purchasing 2 or more selected regular-priced products at the Adidas HK site.",Promotion,http://www.adidas.com.hk/en/cs_promotion_tnc.html,Indonesia,web_search,18 April 2025,5 May 2025,,,,Adidas,HK Discounts
"The Vouchers are only applicable to a single net spending of HK$1,000 or above. The Vouchers are only effective from 18 April 2025 until 12 May 2025.",Promotion,https://www.adidas.com.hk/en/promotions_tnc_app_download_offer.html,Indonesia,web_search,18 April 2025,12 May 2025,,,,Adidas,HK Vouchers Offer
"Get discounts up to 70% from selected discounted items starting April 17, 2025, at adidas Factory Outlet Pondok Labu and Ngagel.",Promotion,https://www.instagram.com/navyaretailindonesia/p/DIh7cxmvyZ0/?api=%E9%A9%AC%E6%9D%A5%E8%A5%BF%E4%BA%9A%E5%93%A5%E6%89%93%E4%B8%81%E5%AE%9C%E7%BA%A6%E7%82%AEWhatsApp%EF%BC%9A601168119942%E5%AD%A6%E7%94%9F%E5%85%BC%E8%81%8C.xkys&hl=ml,Indonesia,web_search,17 April 2025,,,,Adidas,Factory Outlet Discounts
"Adidas Originals Payday Promo on April 26, 2025: Buy 2 gets an additional 10% discount on discount items.",Promotion,https://www.instagram.com/navyaretailindonesia/p/DI7yTnvBxdi/?api=akun%2Bpro%E3%80%90GB777.BET%E3%80%91.rwxc&hl=ne,Indonesia,web_search,26 April 2025,,,,Adidas,Payday Promo
"Receive discounts up to 70% from selected discount items starting from April 17, 2025, at Adidas Factory Outlet.",Promotion,https://www.instagram.com/info_surabaya/reel/DI3p_IaB7iY/?api=1,Indonesia,web_search,17 April 2025,,,,Adidas,Factory Outlet Discounts
"Adidas will offer discounts of up to 70% starting April 17, 2025, at selected factory outlets.",Promotion,https://www.facebook.com/GiladiskonIndonesia/videos/-promo-adidas-buy-3-get-discount-up-to-70-yuk-manjain-diri-dikit-setelah-gajianm/1343507490245934/,Indonesia,web_search,17 April 2025,,,,Adidas,Selected Outlet Discounts
"April 2025's Top Marketing Campaigns & Key Takeaways
Snippet: April 2025 brought a wave of creative brilliance in marketing — from AI-powered personalization to nostalgic storytelling and community-driven campaigns.",Promotion,https://www.linkedin.com/pulse/april-2025s-top-marketing-campaigns-key-takeaways-diginext-info-zovwe,Malaysia,web_search,,,,,,,
"Nike's 'Unlimited Future' campaign, created by Wieden + Kennedy, featured Hollywood actor Bobby Cannavale delivering a motivational speech to a nursery full of children. This aligns with Nike's innovative approach to engagement.",Promotion,https://www.instagram.com/exchange4media/reel/DIjHFXRsjLu/?api=%E9%A9%AC%E6%9D%A5%E8%A5%BF%E4%BA%9A%E5%98%89%E7%99%BB%E6%A5%BC%E7%BA%A6%E7%82%AEWhatsApp%EF%BC%9A601168119942%E5%AD%A6%E7%94%9F%E5%85%BC%E8%81%8C.lymg&hl=am-et,Malaysia,web_search,,,,,,,
"Nike faced backlash for 'Never Again' Ads during the London Marathon. Critics slammed it as inappropriate amid rising antisemitism worldwide, highlighting the fine line brands walk in messaging during sensitive times.",Promotion,https://www.adweek.com/brand-marketing/nike-sparks-backlash-for-never-again-ads-at-london-marathon/,Malaysia,web_search,,,,,,,
"Nike's latest OOH marathon campaign faced backlash for being 'tone deaf', reflecting public sensitivity towards its messaging decisions regarding serious historical issues.",Promotion,https://www.campaignasia.com/article/just-tone-deafnikes-marathon-campaign-backlash/502232,Malaysia,web_search,,,,,,,
Nike issued an apology and withdrew a controversial 'Never Again' ad displayed during the 2025 London Marathon after facing significant criticism for its messaging.,Promotion,https://bestmediainfo.com/mediainfo/advertising/nike-apologises-and-withdraws-never-again-marathon-ad-9016668,Malaysia,web_search,,,,,,,
"Astrae's campaign for Nike, steering clear of sleek designs, emphasizes nostalgia and aligns with Nike's focus on cultural relevance in their marketing strategies.",Promotion,https://www.itsnicethat.com/articles/astraes-nike-ja-morant-graphic-design-project-240425,Malaysia,web_search,,,,,,,
"Nike | Four majors made @rorymcilroy great. Completing a career Grand Slam, legendary.",Promotion,https://www.instagram.com/reel/DIZ6mEXS7-N/?hl=en,Malaysia,web_search,,,,,,,
Nike crushed it with their ad for Rory McIlory after winning the Masters. So cool.,Promotion,https://www.instagram.com/reel/DIaGbauv503/?hl=en,Malaysia,web_search,,,,,,,
Nike made this super creative ad to honor UConn winning the NCAA Championship Swipe to see ❗️,Promotion,https://www.instagram.com/p/DIJbasjRJ3z/?hl=en,Malaysia,web_search,,,,,,,
"Nike's 30 second TV commercial, '2025 Masters: McIlroy'. Keep an eye on this page to learn about the songs.",Promotion,https://www.ispot.tv/ad/TN7E/nike-2025-masters-mcilroy,Malaysia,web_search,,,,,,,
Nike released a “sharp advertisement” shortly after Rory McIlroy's first Masters win. The video opens with a pimento cheese sandwich.,Promotion,https://www.sportsbusinessjournal.com/Articles/2025/04/14/nike-drops-well-timed-ad-after-mcilroys-victory/,Malaysia,web_search,,,,,,,
"Nike's 'Unlimited Future' campaign featured a motivational speech at a nursery, highlighting community engagement.",Promotion,https://www.instagram.com/exchange4media/reel/DIjHFXRsjLu/?locale=fr_CA,Malaysia,web_search,,,,,,,
"Nike Unite KLIA | MID-APRIL PROMO This 11 - 13 April 2025, enjoy up to additional 50% off* when you shop in-store at Nike Unite KLIA, Mitsui Outlet Park.",Promotion,https://www.facebook.com/MOPKLIA/posts/%F0%9D%90%8D%F0%9D%90%A2%F0%9D%90%A4%F0%9D%90%9E-%F0%9D%90%94%F0%9D%90%A7%F0%9D%90%A2%F0%9D%90%AD%F0%9D%90%9E-%F0%9D%90%8A%F0%9D%90%8B%F0%9D%90%88%F0%9D%90%80-%F0%9D%90%8C%F0%9D%90%88%F0%9D%90%83-%F0%9D%90%80%F0%9D%90%8F%F0%9D%90%91%F0%9D%90%88%F0%9D%90%8B-%F0%9D%90%91%F0%9D%90%9E%F0%9D%90%8F%F0%9D%90%8D%F0%9D%90%8Athis-11-13-april-2025-enjoy-up-to-additional-50-o/974168064918132/,Malaysia,web_search,11 April 2025,13 April 2025,,,,Nike,Unite KLIA April Promo
Nike Factory Store Special Sale 4 to 7 April 2025 • Enjoy 50% savings with purchase of 5 selected items • Enjoy 40% savings with purchase of 4 selected items.,Promotion,https://www.instagram.com/p/DH-hhVeP0z2/,Malaysia,web_search,4 April 2025,7 April 2025,,,,Nike,Factory Store Special Sale
"Nike Unite Exclusive: Big Savings, Big Rewards Nike Members, enjoy an extra 30% off storewide purchases and get an exclusive gift when you spend RM800.",Promotion,https://www.facebook.com/MOPKLIA/posts/%F0%9D%90%8D%F0%9D%90%A2%F0%9D%90%A4%F0%9D%90%9E-%F0%9D%90%94%F0%9D%90%A7%F0%9D%90%A2%F0%9D%90%AD%F0%9D%90%9E-%F0%9D%90%84%F0%9D%90%B1%F0%9D%90%9C%F0%9D%90%A5%F0%9D%90%AE%F0%9D%90%AC%F0%9D%90%A2%F0%9D%90%AF%F0%9D%90%9E-%F0%9D%90%81%F0%9D%90%A2%F0%9D%90%A0-%F0%9D%90%92%F0%9D%90%9A%F0%9D%90%AF%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%A0%F0%9D%90%AC-%F0%9D%90%81%F0%9D%90%A2%F0%9D%90%A0-%F0%9D%90%91%F0%9D%90%9E%F0%9D%90%B0%F0%9D%90%9A%F0%9D%90%AB%F0%9D%90%9D%F0%9D%90%ACnike-members-enjoy-an-extra-30-off-s/989321793402759/,Malaysia,web_search,,,,,,,
Nike Factory Store's exclusive sale is taking off at Genting Highlands Premium Outlets from 4 - 7 April 2025! Enjoy 50% additional savings with purchase of 5 selected items.,Promotion,https://www.facebook.com/gentinghighlandspremiumoutlets/videos/nike-factory-stores-exclusive-sale-is-taking-off-at-genting-highlands-premium-ou/540263455374435/,Malaysia,web_search,4 April 2025,7 April 2025,,,,Nike,Exclusive Sale Genting Highlands
"Adidas Malaysia presents “The Original”\nFor Spring/Summer 2025, adidas Originals shifts focus from celebrating its cultural legacy to inspiring future generations with “The Original” – a campaign that engages upcoming generations as change-makers.",Collections,https://www.minimeinsights.com/2025/04/24/adidas-malaysia-presents-the-original/,Malaysia,web_search,,,,Adidas,The Original Malaysia
"Step into the future with The Original by adidas Malaysia\nFor Spring/Summer 2025, adidas Originals is inspiring the new generation of change-makers with its campaign, focusing on contemporary cultural relevance.",Collections,https://www.instagram.com/p/DI02NcJPG1X/,Malaysia,web_search,,,,Adidas,Future With The Original
"adidas Outlet Store Special Sale from 25 to 27 April\nJoin us from 30 May to 1 June 2025 at Johor Premium Outlets for a weekend of exciting activities, exclusive gifts, and unbeatable savings.",Promotion,https://www.instagram.com/p/DI2iMN8SAt5/?hl=en,Malaysia,web_search,25 April 2025,27 April 2025,,,,Adidas,Outlet Store Special Sale
"Adidas Originals' SS25 campaign celebrates individuality\nThis campaign includes a film directed by Thibaut Grivet, highlighting iconic adidas silhouettes like Superstar II, Handball Spezial, and Samba OG, focusing on diversity and personal expression.",Collections,https://www.afaqs.com/news/advertising/adidas-originals-ss25-campaign-celebrates-individuality-8920130,Malaysia,web_search,,,,Adidas,SS25 Celebrates Individuality
"Adidas says 'impactful' marketing will power brand momentum\nAs Adidas increases investment in marketing by 14%, this approach is reflected in campaigns like 'You Got This', contributing to brand uplift and engagement.",Promotion,https://www.marketingweek.com/adidas-impactful-marketing-brand-momentum/,Malaysia,web_search,,,,Adidas,You Got This
"23-30 April 2025: adidas Malaysia, adiClub Days Returns ...",Promotion,https://www.everydayonsales.com/838139/23-30-april-2025-adidas-malaysia-adiclub-days-returns-with-giveaways-discounts-and-exclusive-member-perks-promotion/,Malaysia,web_search,23 April 2025,30 April 2025,,,,Adidas,adiClub Days
quinn tucker | 2500_04 [CRUX x adidas] paid social ad ...,Promotion,https://www.instagram.com/p/DIULI_1PNJj/,Malaysia,web_search,,,,,,,
"23-30 April 2025: adidas Malaysia, adiClub Days Returns with Giveaways, Discounts and Exclusive Member Perks Promotion · A Free adiClub Flask for Members Who ...",Promotion,https://www.everydayonsales.com/838139/23-30-april-2025-adidas-malaysia-adiclub-days-returns-with-giveaways-discounts-and-exclusive-member-perks-promotion/,Malaysia,web_search,23 April 2025,30 April 2025,,,,Adidas,adiClub Days
adidas Factory Outlet | APRIL SPECIAL Promo Period: Till 10 April 2025 ONLY. Terms & Conditions apply ...,Promotion,https://www.instagram.com/p/DIBTKEZyUkA/,Malaysia,web_search,,,,,,,
Nike Running Campaign 2025 \nSnippet: Instagram post by Olivia Malone about Nike's running campaign with 1363 likes and comments. \nUrl: https://www.instagram.com/p/DIeNgWJpUrR/?hl=en,Promotion,https://www.instagram.com/p/DIeNgWJpUrR/?hl=en,Philippines,web_search,,,,,,,
"Robinsons Magnolia on Instagram: 'Find your fit at NIKE...'
Snippet: P50 deals for Go Rewards Black-Tier Members at Robinsons Magnolia.\nUrl: https://www.instagram.com/robinsonsmagnolia/reel/DID2oH5zEoY/",Promotion,https://www.instagram.com/robinsonsmagnolia/reel/DID2oH5zEoY/,Philippines,web_search,,,,,,,
"Nike's Marketing Strategy: The Case Study\nSnippet: A case study exploring Nike's marketing strategies, including brand positioning and customer engagement.\nUrl: https://skillfloor.com/blog/nikes-marketing-strategy-the-case-study",Promotion,https://skillfloor.com/blog/nikes-marketing-strategy-the-case-study,Philippines,web_search,,,,,,,
"NLEX Drive&Dine Promo\nSnippet: Promo from April 11 to April 21 involving Nike Factory, offering promotional offers.\nUrl: https://m.facebook.com/NLEXDriveNDine/photos/end-your-week-with-a-fresh-fit-and-good-vibes-from-april-1121-score-a-free-levis/1091441919667119/",Promotion,https://m.facebook.com/NLEXDriveNDine/photos/end-your-week-with-a-fresh-fit-and-good-vibes-from-april-1121-score-a-free-levis/1091441919667119/,Philippines,web_search,11 April 2025,21 April 2025,,,,Nike,NLEX Drive&Dine Promo
"Adidas Sportswear fans can enjoy an instant P1,200 cashback for a minimum purchase of P6,000 on all adidas items from April 1 to 13, 2025, exclusively at Sports Central stores and The SM Store.",Promotion,https://www.facebook.com/photo.php?fbid=1097708162401490&id=100064869483560&set=a.560092499496395,Philippines,web_search,1 April 2025,13 April 2025,,,,Adidas,Instant Cashback
"Get a limited-time offer to receive free socks with any purchase of Nike or Adidas shoes worth over ₱4,000 from April 16 to 30, 2025.",Promotion,https://www.facebook.com/iloveglorietta/photos/cop-your-fave-nike-or-adidas-kicks-worth-4000-and-get-free-socks-to-complete-the/1110864081077722/,Philippines,web_search,16 April 2025,30 April 2025,,,,,,
"Upcoming Adidas event 'Adizero: Road to Records' on April 26, 2025, at adidas HQ. Part of the marketing strategy to promote Adidas products through athlete engagement.",Product Launch,https://www.adidas.com.ph/en/go/campaign/roadtorecords,Philippines,web_search,26 April 2025,,,,Adidas,Adizero: Road to Records
"From now till 27 April 2025, Nike is offering up to 50% off selected items. This promotion encourages customers to take advantage of significant discounts on gear that supports active lifestyles.",Promotion,https://sg.everydayonsales.com/now-till-27-april-2025-nike-singapore-up-to-50-off-summer-sale-promotion-at-multiple-locations/,Singapore,web_search,,27 April 2025,,,,Nike,50% Off Promotion
"Nike Singapore's flash sale provides up to 50% off on over 1,800 products through its official online store, running from 23 April to 27 April 2025. This limited-time promotion highlights extensive product availability.",Promotion,https://singpromos.com/department-stores/nike-spore-flash-sale-has-up-to-50-off-over-1800-items-until-27-april-2025-289375/,Singapore,web_search,23 April 2025,27 April 2025,,,,Nike,Flash Sale Promotion
"Nike is offering an extra 30% off on sale items when purchasing a minimum of two items, using the promo code LEVELUP at checkout. This promotion runs until 27 April 2025, adding additional value for group purchases.",Promotion,https://www.allsgpromo.com/nike-promo-code/,Singapore,web_search,,27 April 2025,,,,Nike,30% Off Promotion
Adizero: Road to Records\nJoin us on April 26th at adidas HQ for a special day of racing. Our world's greatest athletes will aim to...\n,Product Launch,https://www.adidas.com.sg/go/campaign/roadtorecords,Singapore,web_search,26 April 2025,,,,Adidas,Adizero: Road to Records
"Adidas Launches 'Vibes' Fragrance Collection.\nAdidas is launching a new fragrance line called 'Vibes' on April 25, 2025, which features a variety of scents aimed at a younger audience.\n",Product Launch,https://futr.sg/2025/04/25/adidas-launches-vibes-fragrance-collection/,Singapore,web_search,25 April 2025,,,,Adidas,Vibes Fragrance Launch
Nike S'pore Flash Sale Has Up To 50% Off (EXPIRED),Promotion,https://singpromos.com/department-stores/nike-spore-flash-sale-has-up-to-50-off-over-1800-items-until-27-april-2025-289375/,Singapore,web_search,,27 April 2025,,,,Nike,Flash Sale
Now till 27 April 2025: Nike Singapore – Up to 50% Off Selected Items,Promotion,https://sg.everydayonsales.com/now-till-27-april-2025-nike-singapore-up-to-50-off-summer-sale-promotion-at-multiple-locations/,Singapore,web_search,,27 April 2025,,,,Nike,Up to 50% Off
...(more rows)
